OBJECTID,id,Date,AmericanIndian_AlaskanNative,Asian,Black,Hispanic,White,Date_Str,Today
1,1,12/14/2020 5:00:00 AM,,0,0,0,0,2020-12-14,2023-08-31
2,2,12/21/2020 5:00:00 AM,,0.03,0.01,0,0.02,2020-12-21,2023-08-31
3,3,12/28/2020 5:00:00 AM,0.02,0.08,0.01,0.02,0.06,2020-12-28,2023-08-31
4,4,1/4/2021 5:00:00 AM,0.63,0.94,0.23,0.17,0.6,2021-01-04,2023-08-31
5,5,1/11/2021 5:00:00 AM,1.08,1.46,0.4,0.27,0.9,2021-01-11,2023-08-31
6,6,1/18/2021 5:00:00 AM,1.26,1.87,0.57,0.38,1.18,2021-01-18,2023-08-31
7,7,1/25/2021 5:00:00 AM,2.11,2.75,0.91,0.64,1.95,2021-01-25,2023-08-31
8,8,2/1/2021 5:00:00 AM,3.1,4.12,1.59,1.16,3.38,2021-02-01,2023-08-31
9,9,2/8/2021 5:00:00 AM,3.78,5.25,2.2,1.71,4.88,2021-02-08,2023-08-31
10,10,2/15/2021 5:00:00 AM,4.02,5.74,2.47,1.94,5.52,2021-02-15,2023-08-31
11,11,2/22/2021 5:00:00 AM,4.84,7.5,3.42,2.78,7.24,2021-02-22,2023-08-31
12,12,3/1/2021 5:00:00 AM,5.69,8.56,4.27,3.43,8.4,2021-03-01,2023-08-31
13,13,3/8/2021 5:00:00 AM,6.59,10.06,5.14,4.23,9.86,2021-03-08,2023-08-31
14,14,3/15/2021 5:00:00 AM,7.19,11.33,5.8,5.47,11.23,2021-03-15,2023-08-31
15,15,3/22/2021 5:00:00 AM,8.87,13.47,6.87,7.12,13.56,2021-03-22,2023-08-31
16,16,3/29/2021 5:00:00 AM,11.12,16.32,8.32,9.24,16.42,2021-03-29,2023-08-31
17,17,4/5/2021 5:00:00 AM,14.85,20.18,10.5,12.28,19.99,2021-04-05,2023-08-31
18,18,4/12/2021 5:00:00 AM,17.42,23.61,11.95,14.37,22.56,2021-04-12,2023-08-31
19,19,4/19/2021 5:00:00 AM,19.14,27.14,13.32,16.52,25.08,2021-04-19,2023-08-31
20,20,4/26/2021 5:00:00 AM,21.69,30.43,14.86,19.08,27.68,2021-04-26,2023-08-31
21,21,5/3/2021 5:00:00 AM,24.54,33.48,16.47,22.03,29.98,2021-05-03,2023-08-31
22,22,5/10/2021 5:00:00 AM,26.65,35.49,17.75,24.48,31.63,2021-05-10,2023-08-31
23,23,5/17/2021 5:00:00 AM,28.56,37.2,18.75,26.37,32.87,2021-05-17,2023-08-31
24,24,5/24/2021 5:00:00 AM,30.27,38.49,19.61,27.74,33.71,2021-05-24,2023-08-31
25,25,5/31/2021 5:00:00 AM,32.18,39.78,20.38,29.15,34.58,2021-05-31,2023-08-31
26,26,6/7/2021 5:00:00 AM,33.68,41.16,21.22,30.69,35.47,2021-06-07,2023-08-31
27,27,6/14/2021 5:00:00 AM,34.67,42.28,21.94,32.02,36.18,2021-06-14,2023-08-31
28,28,6/21/2021 5:00:00 AM,35.61,43.13,22.49,33,36.67,2021-06-21,2023-08-31
29,29,6/28/2021 5:00:00 AM,36.59,43.81,22.95,33.74,37.05,2021-06-28,2023-08-31
30,30,7/5/2021 5:00:00 AM,37.31,44.53,23.39,34.43,37.44,2021-07-05,2023-08-31
31,31,7/12/2021 5:00:00 AM,37.94,45.13,23.79,35.05,37.76,2021-07-12,2023-08-31
32,32,7/19/2021 5:00:00 AM,38.64,45.63,24.17,35.63,38.09,2021-07-19,2023-08-31
33,33,7/26/2021 5:00:00 AM,39.22,46.11,24.57,36.28,38.44,2021-07-26,2023-08-31
34,34,8/2/2021 5:00:00 AM,40.25,46.56,25.02,36.91,38.79,2021-08-02,2023-08-31
35,35,8/9/2021 5:00:00 AM,41.05,46.99,25.61,37.71,39.25,2021-08-09,2023-08-31
36,36,8/16/2021 5:00:00 AM,41.85,47.51,26.38,38.69,39.82,2021-08-16,2023-08-31
37,37,8/23/2021 5:00:00 AM,42.87,48.07,27.3,39.97,40.51,2021-08-23,2023-08-31
38,38,8/30/2021 5:00:00 AM,44.14,48.63,28.21,41.29,41.19,2021-08-30,2023-08-31
39,39,9/6/2021 5:00:00 AM,45.09,49.04,28.99,42.42,41.76,2021-09-06,2023-08-31
40,40,9/13/2021 5:00:00 AM,45.93,49.42,29.72,43.39,42.3,2021-09-13,2023-08-31
41,41,9/20/2021 5:00:00 AM,46.85,49.81,30.45,44.31,42.78,2021-09-20,2023-08-31
42,42,9/27/2021 5:00:00 AM,47.4,50.1,31,44.98,43.15,2021-09-27,2023-08-31
43,43,10/4/2021 5:00:00 AM,47.85,50.36,31.43,45.48,43.41,2021-10-04,2023-08-31
44,44,10/11/2021 5:00:00 AM,48.24,50.57,31.81,45.91,43.63,2021-10-11,2023-08-31
45,45,10/18/2021 5:00:00 AM,48.56,50.82,32.19,46.34,43.89,2021-10-18,2023-08-31
46,46,10/25/2021 5:00:00 AM,49.05,51.2,32.6,46.76,44.28,2021-10-25,2023-08-31
47,47,11/1/2021 5:00:00 AM,49.55,51.57,32.92,47.12,44.6,2021-11-01,2023-08-31
48,48,11/8/2021 5:00:00 AM,49.95,51.89,33.18,47.42,44.86,2021-11-08,2023-08-31
49,49,11/15/2021 5:00:00 AM,50.3,52.21,33.46,47.69,45.13,2021-11-15,2023-08-31
50,50,11/22/2021 5:00:00 AM,50.49,52.55,33.69,47.97,45.44,2021-11-22,2023-08-31
51,51,11/29/2021 5:00:00 AM,51.2,53.3,34.16,48.66,46.08,2021-11-29,2023-08-31
52,52,12/6/2021 5:00:00 AM,51.72,53.94,34.58,49.27,46.56,2021-12-06,2023-08-31
53,53,12/13/2021 5:00:00 AM,52.09,54.43,34.91,49.69,46.9,2021-12-13,2023-08-31
54,54,12/20/2021 5:00:00 AM,52.5,54.87,35.24,50.06,47.23,2021-12-20,2023-08-31
55,55,12/27/2021 5:00:00 AM,52.95,55.3,35.58,50.49,47.51,2021-12-27,2023-08-31
56,56,1/3/2022 5:00:00 AM,53.3,55.74,35.87,50.91,47.78,2022-01-03,2023-08-31
57,57,1/10/2022 5:00:00 AM,53.68,56.14,36.17,51.31,48,2022-01-10,2023-08-31
58,58,1/17/2022 5:00:00 AM,53.96,56.51,36.48,51.72,48.19,2022-01-17,2023-08-31
59,59,1/24/2022 5:00:00 AM,54.35,56.81,36.8,52.15,48.36,2022-01-24,2023-08-31
60,60,1/31/2022 5:00:00 AM,54.66,57.06,37.05,52.53,48.5,2022-01-31,2023-08-31
61,61,2/7/2022 5:00:00 AM,54.92,57.25,37.28,52.84,48.62,2022-02-07,2023-08-31
62,62,2/14/2022 5:00:00 AM,55.16,57.41,37.44,53.06,48.71,2022-02-14,2023-08-31
63,63,2/21/2022 5:00:00 AM,55.28,57.54,37.58,53.23,48.79,2022-02-21,2023-08-31
64,64,2/28/2022 5:00:00 AM,55.35,57.66,37.69,53.37,48.85,2022-02-28,2023-08-31
65,65,3/7/2022 5:00:00 AM,55.47,57.76,37.78,53.48,48.9,2022-03-07,2023-08-31
66,66,3/14/2022 5:00:00 AM,55.65,57.87,37.87,53.59,48.95,2022-03-14,2023-08-31
67,67,3/21/2022 5:00:00 AM,55.74,57.95,37.95,53.68,48.99,2022-03-21,2023-08-31
68,68,3/28/2022 5:00:00 AM,55.79,58.04,38.03,53.77,49.04,2022-03-28,2023-08-31
69,69,4/4/2022 5:00:00 AM,55.86,58.15,38.11,53.85,49.1,2022-04-04,2023-08-31
70,70,4/11/2022 5:00:00 AM,55.97,58.22,38.17,53.92,49.15,2022-04-11,2023-08-31
71,71,4/18/2022 5:00:00 AM,56.06,58.3,38.24,53.99,49.2,2022-04-18,2023-08-31
72,72,4/25/2022 5:00:00 AM,56.16,58.38,38.31,54.06,49.25,2022-04-25,2023-08-31
73,73,5/2/2022 5:00:00 AM,56.29,58.45,38.36,54.11,49.3,2022-05-02,2023-08-31
74,74,5/9/2022 5:00:00 AM,56.33,58.54,38.42,54.17,49.34,2022-05-09,2023-08-31
75,75,5/16/2022 5:00:00 AM,56.38,58.61,38.48,54.23,49.39,2022-05-16,2023-08-31
76,76,5/23/2022 5:00:00 AM,56.44,58.7,38.53,54.28,49.44,2022-05-23,2023-08-31
77,77,5/30/2022 5:00:00 AM,56.53,58.75,38.58,54.33,49.47,2022-05-30,2023-08-31
78,78,6/6/2022 5:00:00 AM,56.65,58.81,38.64,54.38,49.52,2022-06-06,2023-08-31
79,79,6/13/2022 5:00:00 AM,56.7,58.87,38.69,54.43,49.55,2022-06-13,2023-08-31
